team,home_win_rate,home_draw_rate,home_loss_rate
Lesotho,21.379310344827587,37.93103448275862,40.689655172413794
Liberia,40.12738853503185,28.02547770700637,31.84713375796178
Libya,54.146341463414636,26.34146341463415,19.51219512195122
Liechtenstein,9.090909090909092,14.87603305785124,76.03305785123968
Lithuania,30.978260869565215,25.0,44.02173913043478
Luhansk PR,100.0,0.0,0.0
Luxembourg,12.549019607843137,16.07843137254902,71.37254901960785
Macau,23.18840579710145,13.043478260869565,63.76811594202898
Madagascar,47.59036144578313,27.710843373493976,24.69879518072289
Madrid,0.0,0.0,100.0
Malawi,43.75,29.6195652173913,26.6304347826087
Malaysia,50.73684210526316,23.157894736842106,26.105263157894736
Maldives,39.80582524271845,21.35922330097087,38.83495145631068
Mali,57.14285714285714,25.0,17.857142857142858
Malta,18.503937007874015,20.47244094488189,61.023622047244096
Manchukuo,0.0,0.0,100.0
Mapuche,50.0,0.0,50.0
Marshall Islands,0.0,0.0,100.0
Martinique,53.939393939393945,23.03030303030303,23.03030303030303
Matabeleland,50.0,50.0,0.0
Mauritania,33.035714285714285,29.464285714285715,37.5
Mauritius,36.91275167785235,23.48993288590604,39.59731543624161
Mayotte,36.36363636363637,36.36363636363637,27.27272727272727
Menorca,69.23076923076923,0.0,30.76923076923077
Mexico,58.18181818181818,23.471074380165287,18.34710743801653
Micronesia,50.0,0.0,50.0
Moldova,22.727272727272727,25.757575757575758,51.515151515151516
Monaco,55.55555555555556,22.22222222222222,22.22222222222222
Mongolia,45.94594594594595,2.7027027027027026,51.35135135135135
Montenegro,43.956043956043956,24.175824175824175,31.868131868131865
Montserrat,32.142857142857146,10.714285714285714,57.14285714285714
Morocco,63.976945244956774,22.76657060518732,13.256484149855908
Mozambique,41.47727272727273,28.40909090909091,30.113636363636363
Myanmar,54.666666666666664,17.666666666666668,27.666666666666668
Namibia,34.090909090909086,34.090909090909086,31.818181818181817
Nepal,38.88888888888889,18.253968253968253,42.857142857142854
Netherlands,57.44234800838575,23.48008385744235,19.07756813417191
New Caledonia,62.16216216216216,10.81081081081081,27.027027027027028
New Zealand,56.14035087719298,16.95906432748538,26.900584795321635
Nicaragua,42.10526315789473,14.473684210526317,43.42105263157895
Niger,38.13559322033898,24.576271186440678,37.28813559322034
Nigeria,63.20754716981132,24.528301886792452,12.264150943396226
Niue,0.0,0.0,100.0
North Korea,58.94039735099338,20.52980132450331,20.52980132450331
North Macedonia,39.735099337748345,23.841059602649008,36.423841059602644
North Vietnam,60.0,0.0,40.0
Northern Cyprus,68.18181818181817,22.727272727272727,9.090909090909092
Northern Ireland,34.51327433628318,21.828908554572273,43.657817109144545
Northern Mariana Islands,20.0,20.0,60.0
Norway,42.23744292237443,24.65753424657534,33.10502283105023
Occitania,60.0,15.0,25.0
Oman,45.63106796116505,25.5663430420712,28.802588996763756
Orkney,38.88888888888889,5.555555555555555,55.55555555555556
Padania,68.96551724137932,17.24137931034483,13.793103448275861
Pakistan,33.33333333333333,18.181818181818183,48.484848484848484
Palau,0.0,0.0,100.0
Palestine,43.01075268817204,27.956989247311824,29.03225806451613
Panama,45.38152610441767,27.710843373493976,26.907630522088354
Panjab,42.857142857142854,28.57142857142857,28.57142857142857
Papua New Guinea,35.61643835616438,26.027397260273972,38.35616438356164
Paraguay,49.13494809688581,27.33564013840831,23.52941176470588
Parishes of Jersey,100.0,0.0,0.0
Peru,45.230769230769226,22.76923076923077,32.0
Philippines,42.142857142857146,19.28571428571429,38.57142857142858
Poland,51.74825174825175,24.708624708624708,23.543123543123542
Portugal,59.189189189189186,24.594594594594597,16.216216216216218
Provence,33.33333333333333,8.333333333333332,58.333333333333336
Puerto Rico,34.66666666666667,20.0,45.33333333333333
Qatar,47.4934036939314,25.32981530343008,27.176781002638524
Quebec,50.0,0.0,50.0
Raetia,40.0,10.0,50.0
Republic of Ireland,45.95375722543353,27.74566473988439,26.300578034682083
Republic of St. Pauli,25.0,25.0,50.0
